pmid,label,label_name,title_len,abstract_len,n_sentences,avg_sentence_len,n_authors,n_affiliations,n_grants,n_references,is_english,year,n_exaggeration,n_certainty,n_hedge,n_stats,digits_per_1000,single_author,design_meta,design_rct,design_case_report,design_cohort,design_basic,design_review
41951179,1,flipped,137,1697,25,67.9,9,7,0,0,1,2026,1,2,2,1,33.0,0,0,0,0,0,0,0
41945612,1,flipped,102,1753,10,175.3,9,11,0,57,1,2026,0,1,2,1,3.4,0,0,0,0,0,0,0
41938679,1,flipped,122,2238,11,203.5,1,1,0,25,1,2026,0,0,0,0,2.7,1,0,1,0,1,0,1
41924683,1,flipped,149,2069,11,188.1,3,3,0,16,1,2026,0,1,2,0,0.0,0,0,0,0,0,0,1
41909320,1,flipped,117,1771,7,253.0,7,7,0,58,1,2026,1,1,1,0,0.0,0,0,1,0,1,0,1
41909283,1,flipped,80,1066,8,133.2,5,3,0,47,1,2026,0,0,0,0,14.1,0,1,0,0,0,0,1
41902197,1,flipped,93,1138,5,227.6,6,3,2,184,1,2026,0,0,0,0,0.9,0,0,0,0,0,0,1
41901488,1,flipped,139,2207,15,147.1,5,2,4,38,1,2026,0,0,2,3,12.7,0,0,0,0,0,0,0
41896650,1,flipped,129,1120,12,93.3,5,5,0,53,1,2026,2,0,2,0,25.0,0,0,0,0,0,0,0
41878112,1,flipped,203,1867,13,143.6,3,3,0,50,1,2026,1,0,0,5,12.3,0,0,0,0,0,0,0
41876419,1,flipped,132,1141,4,285.2,2,2,0,0,0,2026,0,0,2,0,0.0,0,0,0,0,0,0,0
41873265,1,flipped,120,1589,7,227.0,6,6,0,50,1,2026,0,0,0,0,0.0,0,0,0,0,1,0,1
41873206,1,flipped,124,2308,16,144.2,3,3,0,59,1,2026,0,2,2,0,10.4,0,1,0,0,0,0,1
41863668,1,flipped,170,1947,17,114.5,1,1,0,49,1,2026,1,0,2,0,0.5,1,0,0,0,0,0,0
41847235,1,flipped,155,2241,19,117.9,8,7,0,77,1,2026,0,1,2,0,19.6,0,0,1,0,1,0,0
41835407,1,flipped,143,1690,15,112.7,3,3,0,50,1,2026,2,0,0,2,19.5,0,0,0,0,0,0,0
41811891,1,flipped,118,1538,10,153.8,8,3,0,36,1,2026,0,0,0,0,11.7,0,0,0,0,0,0,0
41800681,1,flipped,202,2141,17,125.9,5,1,0,50,1,2026,0,0,1,8,23.8,0,0,0,0,1,0,0
41798451,1,flipped,158,1164,11,105.8,2,2,0,10,1,2026,0,0,1,0,1.7,0,0,0,1,0,0,0
41798008,1,flipped,155,1849,10,184.9,2,1,0,37,1,2026,0,0,0,0,1.1,0,0,0,0,0,0,0
41797927,1,flipped,82,1485,8,185.6,6,2,0,210,1,2026,0,0,0,0,1.3,0,0,0,0,0,1,1
41794360,1,flipped,79,1616,6,269.3,11,9,0,0,1,2026,1,1,0,0,2.5,0,0,0,0,0,0,1
41781551,1,flipped,124,1896,17,111.5,9,7,2,43,1,2026,0,2,3,0,11.6,0,0,0,0,0,1,0
41779350,1,flipped,163,1334,16,83.4,3,3,0,46,1,2026,0,1,0,0,15.0,0,0,0,0,0,0,0
41775206,1,flipped,122,1569,29,54.1,4,4,0,0,1,2026,0,1,1,7,60.5,0,0,0,0,0,0,0
41774725,1,flipped,111,1758,10,175.8,3,3,0,79,1,2026,2,0,0,0,4.0,0,0,0,0,0,0,1
41772006,1,flipped,100,1516,13,116.6,1,1,0,64,1,2026,0,2,0,1,10.6,1,0,0,0,0,0,0
41766625,1,flipped,133,708,9,78.7,47,61,8,0,1,2026,1,0,0,0,21.2,0,0,0,0,0,0,0
41766166,1,flipped,155,1827,14,130.5,6,5,0,0,1,2026,0,1,0,1,7.1,0,0,1,0,0,0,0
41764663,1,flipped,112,991,9,110.1,9,3,0,0,1,2026,0,0,2,0,10.1,0,0,0,0,0,0,0
41760891,1,flipped,127,1477,10,147.7,3,5,0,43,1,2026,1,0,1,0,10.8,0,0,0,0,0,0,0
41724217,1,flipped,90,1819,10,181.9,1,0,0,0,1,2026,0,2,2,0,12.1,1,0,0,0,0,0,0
41719389,1,flipped,121,1190,8,148.8,18,15,0,67,1,2026,0,0,1,0,23.5,0,0,0,0,0,1,0
41717638,1,flipped,106,1368,9,152.0,5,1,0,12,1,2026,0,1,1,1,0.7,0,0,0,1,1,0,0
41710518,1,flipped,77,2123,11,193.0,1,1,0,66,1,2026,0,0,3,0,0.0,1,0,0,0,0,0,1
41705985,1,flipped,72,1465,9,162.8,2,1,0,0,1,2026,1,0,3,0,0.0,0,0,0,0,0,0,0
41699049,1,flipped,106,1707,13,131.3,7,5,3,30,1,2026,0,0,0,0,13.5,0,0,0,0,0,0,0
41698645,1,flipped,168,1222,11,111.1,8,4,0,0,1,2026,0,2,2,1,17.2,0,0,0,0,0,0,0
41695609,1,flipped,145,1910,25,76.4,9,9,0,18,1,2026,0,0,0,2,17.3,0,0,1,0,0,0,0
41690674,1,flipped,132,2731,54,50.6,4,3,0,0,1,2026,0,0,1,5,53.1,0,0,1,0,0,0,0
41686924,1,flipped,98,744,5,148.8,4,0,0,0,1,2026,0,1,0,0,0.0,0,0,0,0,0,0,0
41686783,1,flipped,130,2699,17,158.8,9,2,0,34,1,2026,1,2,1,1,26.7,0,0,0,0,0,1,0
41679387,1,flipped,180,2216,21,105.5,8,2,0,0,1,2026,0,0,3,0,8.1,0,1,0,0,0,0,1
41675784,1,flipped,95,2265,15,151.0,14,11,0,0,1,2026,0,1,4,0,1.8,0,0,1,0,0,0,1
41667582,1,flipped,105,1792,11,162.9,5,4,0,55,1,2026,1,1,0,4,1.1,0,0,0,0,0,0,0
41667046,1,flipped,103,1787,10,178.7,9,3,0,0,1,2026,1,0,5,1,6.2,0,0,0,0,0,1,0
41666227,1,flipped,137,1473,9,163.7,8,3,0,37,1,2026,0,2,0,0,0.0,0,0,0,0,0,0,0
41665899,1,flipped,158,2216,31,71.5,7,8,0,0,1,2026,1,0,1,0,30.7,0,0,0,0,0,0,0
41656643,1,flipped,121,2499,24,104.1,11,1,0,16,1,2026,0,0,0,9,21.2,0,0,0,0,0,0,0
41653336,1,flipped,169,1657,20,82.8,6,5,0,29,1,2026,0,1,2,1,36.8,0,1,0,0,1,0,1
41633626,1,flipped,171,1713,18,95.2,7,5,0,16,1,2026,0,0,1,2,11.1,0,0,0,0,1,0,0
41629425,1,flipped,89,2018,35,57.7,28,25,3,41,1,2026,2,2,2,3,53.0,0,0,1,0,1,0,0
41628715,1,flipped,125,1223,7,174.7,5,4,0,0,1,2026,0,0,0,0,0.0,0,0,0,0,1,0,1
41619002,1,flipped,110,2518,14,179.9,7,4,3,34,1,2026,1,2,1,3,16.7,0,0,0,0,0,0,0
41617936,1,flipped,124,1739,34,51.1,5,3,0,23,1,2026,0,0,1,1,64.4,0,0,0,0,1,0,0
41601611,1,flipped,77,2619,18,145.5,1,1,0,33,1,2025,0,0,8,2,5.0,1,0,0,1,1,0,0
41601391,1,flipped,160,3197,18,177.6,2,1,0,58,1,2026,5,0,4,0,10.0,0,0,0,0,0,1,1
41580577,1,flipped,116,1684,10,168.4,7,10,0,114,1,2026,0,0,3,1,4.8,0,0,0,0,0,0,0
41579392,1,flipped,134,1368,18,76.0,7,5,0,31,1,2026,1,1,0,3,27.0,0,0,0,0,0,0,0
41577152,1,flipped,94,1537,12,128.1,3,3,0,0,1,2026,0,1,0,0,29.3,0,0,0,0,0,1,0
41575947,1,flipped,118,1740,14,124.3,2,1,0,30,1,2026,1,2,1,1,12.6,0,0,0,0,0,0,0
41573009,1,flipped,141,2042,27,75.6,3,2,0,22,1,2026,0,1,0,5,33.8,0,1,1,0,0,0,1
41572815,1,flipped,161,1231,13,94.7,2,2,0,40,1,2026,0,0,0,3,27.6,0,0,0,0,0,0,0
41561000,1,flipped,91,1820,21,86.7,6,3,0,101,1,2026,2,1,0,0,39.0,0,0,0,0,0,0,0
41560851,1,flipped,137,1819,13,139.9,8,3,0,64,1,2026,0,0,2,0,1.6,0,0,0,0,0,1,0
41555827,1,flipped,129,1495,21,71.2,5,1,1,0,1,2026,0,0,2,4,18.7,0,0,0,0,0,0,0
41554744,1,flipped,112,1801,13,138.5,8,8,2,30,1,2026,2,2,0,0,23.3,0,0,0,0,0,0,0
41553963,1,flipped,143,1906,17,112.1,6,0,0,0,1,2026,0,0,3,1,13.6,0,0,0,0,1,0,0
41551755,1,flipped,133,1145,6,190.8,2,1,0,5,1,2026,0,1,2,0,7.9,0,0,0,0,0,0,0
41550572,1,flipped,98,1364,9,151.6,3,1,0,96,1,2026,0,1,1,1,5.9,0,0,0,0,0,0,0
41544152,1,flipped,124,1546,8,193.2,8,1,0,54,1,2026,0,2,0,1,5.8,0,0,0,0,0,0,0
41540926,1,flipped,120,633,8,79.1,19,3,0,18,1,2026,0,1,0,1,58.5,0,0,0,0,0,0,0
41539371,1,flipped,125,1550,16,96.9,8,6,0,0,1,2026,1,0,0,1,59.4,0,0,1,0,0,1,0
41501145,1,flipped,129,2009,15,133.9,2,2,0,96,1,2026,1,1,1,0,7.5,0,0,0,0,0,0,0
41488073,1,flipped,171,1385,10,138.5,3,1,0,34,1,2025,1,1,5,2,11.6,0,0,0,0,0,0,0
41482099,1,flipped,114,1775,13,136.5,4,4,0,0,1,2026,1,0,0,0,19.2,0,0,0,0,0,0,0
41477507,1,flipped,113,2575,21,122.6,4,3,0,66,1,2025,0,0,0,2,21.0,0,0,0,0,0,0,0
41477400,1,flipped,222,2307,29,79.6,5,2,0,0,1,2025,0,4,0,6,28.6,0,0,0,0,1,0,0
41462499,1,flipped,85,1347,14,96.2,2,2,0,0,1,2025,0,0,1,0,16.3,0,0,0,0,0,0,0
41461440,1,flipped,106,1794,16,112.1,5,2,0,0,1,2026,0,1,5,0,3.9,0,0,0,0,0,0,0
41461240,1,flipped,203,2256,14,161.1,16,5,0,0,1,2026,0,2,3,4,16.0,0,0,1,0,0,0,0
41443092,1,flipped,134,1637,11,148.8,4,4,0,0,1,2026,0,2,0,4,12.2,0,0,1,0,0,0,0
41439042,1,flipped,177,2065,28,73.8,6,3,0,34,1,2025,0,0,0,0,27.1,0,0,1,0,0,0,0
41438970,1,flipped,184,2014,14,143.9,16,7,0,35,1,2025,0,3,1,3,46.7,0,0,0,0,1,0,0
41428574,1,flipped,139,1944,15,129.6,6,0,0,0,1,2025,1,0,0,2,0.0,0,0,0,0,0,1,0
41425863,1,flipped,117,1118,29,38.6,10,8,0,37,1,2025,0,0,3,0,25.0,0,0,0,0,0,1,0
41424701,1,flipped,207,1188,9,132.0,3,2,0,67,1,2025,0,1,0,1,29.5,0,0,0,0,0,0,0
41419589,1,flipped,101,1621,8,202.6,3,3,0,23,1,2025,2,1,0,0,22.2,0,0,0,0,0,0,0
41408125,1,flipped,119,1295,7,185.0,4,4,0,57,1,2025,0,0,0,0,10.8,0,0,0,0,0,0,0
41395205,1,flipped,193,2148,17,126.4,3,4,0,131,1,2025,0,1,0,1,18.2,0,0,0,0,0,0,0
41389650,1,flipped,79,1771,9,196.8,6,5,0,0,1,2026,0,0,0,0,0.0,0,0,0,0,0,0,0
41388073,1,flipped,114,1134,7,162.0,2,3,0,42,1,2025,0,1,0,0,9.7,0,0,0,0,0,0,0
41386596,1,flipped,95,1515,13,116.5,5,5,0,0,1,2026,1,0,2,0,12.5,0,0,0,0,0,1,0
41384994,1,flipped,108,1824,9,202.7,3,3,0,179,1,2025,0,1,2,0,0.5,0,0,0,0,0,1,0
41380573,1,flipped,107,1657,19,87.2,8,7,0,0,1,2026,0,3,0,3,27.2,0,0,1,0,0,0,0
41378903,1,flipped,104,769,14,54.9,0,0,0,0,1,2026,0,0,0,0,35.1,0,0,0,0,0,0,0
41368800,1,flipped,159,1656,11,150.5,3,2,0,0,1,2025,1,1,1,0,10.9,0,0,0,0,0,0,0
41365957,1,flipped,98,788,12,65.7,7,14,0,27,1,2025,0,1,0,0,24.1,0,0,0,0,0,0,0
41364714,1,flipped,104,1093,9,121.4,6,1,0,43,1,2025,0,2,1,0,15.6,0,0,0,0,0,1,0
41364495,1,flipped,77,1120,10,112.0,4,4,0,23,1,2025,0,2,4,0,16.1,0,0,0,0,1,0,0
41364131,1,flipped,121,1426,26,54.8,1,1,0,27,1,2025,1,0,1,3,47.7,1,1,0,0,0,0,1
41359665,1,flipped,140,2070,20,103.5,2,1,0,48,1,2025,1,1,7,0,65.7,0,0,0,0,0,0,0
41355203,1,flipped,264,3179,53,60.0,13,11,1,54,1,2026,2,5,0,5,47.8,0,0,0,0,1,0,0
41354106,1,flipped,125,1850,13,142.3,9,3,0,0,1,2025,0,0,2,1,13.5,0,0,0,0,0,0,0
41353726,1,flipped,119,1766,25,70.6,4,2,0,16,1,2026,0,0,1,5,36.2,0,1,0,0,0,0,1
41351667,1,flipped,140,1940,10,194.0,4,4,0,177,1,2025,3,1,1,1,0.0,0,0,0,0,0,0,0
41345495,1,flipped,96,1359,10,135.9,11,7,1,25,1,2025,2,2,0,1,8.1,0,0,0,0,0,0,0
41339448,1,flipped,118,1588,21,75.6,4,2,0,19,1,2025,0,0,0,1,27.7,0,0,0,0,0,0,0
41333317,1,flipped,86,1014,6,169.0,9,5,0,230,1,2025,0,0,0,0,0.0,0,0,0,0,0,0,1
41329731,1,flipped,109,1134,7,162.0,24,11,3,40,1,2025,0,1,1,5,12.3,0,0,0,0,0,0,0
41329706,1,flipped,121,1490,17,87.6,2,1,0,36,1,2025,1,3,0,1,15.4,0,0,0,0,0,0,0
41326833,1,flipped,120,1452,10,145.2,8,5,5,43,1,2025,1,1,4,3,14.5,0,0,0,0,0,1,0
41326608,1,flipped,155,2194,15,146.3,2,2,0,29,1,2025,0,1,1,0,1.4,0,0,0,0,0,0,0
41325487,1,flipped,80,1586,9,176.2,6,3,0,74,1,2025,1,0,0,0,9.5,0,0,0,0,0,0,0
41318866,1,flipped,66,1333,13,102.5,2,2,1,67,1,2025,0,0,0,1,30.8,0,0,0,0,0,0,0
41314100,1,flipped,101,1492,7,213.1,4,4,0,0,1,2025,0,0,1,1,3.4,0,0,0,0,0,0,0
41309836,1,flipped,127,2244,24,93.5,25,17,0,85,1,2025,1,1,1,1,19.2,0,0,0,0,0,0,0
41299174,1,flipped,74,1558,9,173.1,29,33,28,71,1,2026,1,0,2,0,9.6,0,0,0,0,0,0,0
41297818,1,flipped,184,2021,9,224.6,6,5,0,0,1,2026,1,3,1,0,4.5,0,0,0,0,0,0,0
41284730,1,flipped,141,2322,17,136.6,7,3,0,0,1,2025,0,0,3,0,15.9,0,0,0,0,0,0,0
41275786,1,flipped,78,1174,7,167.7,3,3,0,0,1,2025,2,1,0,0,6.8,0,0,0,0,0,0,0
41275022,1,flipped,149,2501,25,100.0,4,4,0,54,1,2025,1,1,1,4,27.6,0,0,1,0,0,0,0
41274469,1,flipped,158,2077,24,86.5,6,3,0,0,1,2025,0,0,2,2,34.2,0,0,0,0,0,0,0
41271980,1,flipped,134,1155,10,115.5,2,2,0,51,1,2025,1,2,1,0,1.7,0,0,0,0,0,0,0
41271879,1,flipped,112,1681,13,129.3,10,5,0,30,1,2025,2,0,1,1,3.6,0,0,0,0,0,1,0
41270404,1,flipped,187,1664,11,151.3,6,3,0,0,1,2026,0,0,1,1,15.6,0,0,0,0,0,0,0
41270073,1,flipped,114,1303,14,93.1,6,2,0,36,1,2025,0,0,1,0,16.9,0,0,0,0,0,1,0
41266493,1,flipped,130,2221,35,63.5,5,3,1,35,1,2025,0,1,0,4,44.1,0,0,0,0,1,0,0
41265700,1,flipped,129,1225,39,31.4,10,5,0,0,1,2026,0,0,0,0,53.1,0,0,0,0,0,0,0
41264124,1,flipped,87,997,6,166.2,2,2,1,27,1,2025,1,1,3,0,6.0,0,0,0,0,0,1,0
41263406,1,flipped,90,1104,6,184.0,6,1,0,209,1,2025,1,0,0,2,7.2,0,0,0,0,0,0,1
41261654,1,flipped,129,2555,50,51.1,5,3,0,19,1,2025,0,2,0,3,53.2,0,0,0,0,1,0,1
41261303,1,flipped,135,1725,43,40.1,8,4,0,62,1,2025,1,5,0,1,67.2,0,1,0,0,1,0,1
41258065,1,flipped,99,2540,21,121.0,1,1,1,28,1,2025,2,3,1,2,8.7,1,0,0,0,0,0,0
41258010,1,flipped,147,1378,9,153.1,13,8,0,73,1,2025,0,2,0,0,13.1,0,0,0,0,0,0,0
41250395,1,flipped,85,1193,8,149.1,4,3,0,0,1,2025,0,1,2,0,4.2,0,0,0,0,0,0,0
41246172,1,flipped,113,1938,13,149.1,6,1,0,59,1,2026,0,0,0,1,7.2,0,0,0,0,0,0,1
41242112,1,flipped,199,1900,18,105.6,5,4,0,0,1,2025,0,3,1,8,16.8,0,0,0,0,0,0,0
41238639,1,flipped,92,1546,8,193.2,5,6,4,56,1,2025,2,1,2,2,2.6,0,0,0,0,1,0,0
41237110,1,flipped,126,1593,17,93.7,3,3,0,34,1,2025,1,4,0,0,11.3,0,0,0,0,0,0,0
41234393,1,flipped,116,2321,26,89.3,5,6,0,30,1,2025,0,2,3,3,37.9,0,0,0,0,1,0,0
41232001,1,flipped,86,968,5,193.6,2,1,0,0,1,2025,1,0,1,2,11.4,0,0,0,0,0,0,0
41229025,1,flipped,132,1767,11,160.6,4,2,0,37,1,2025,3,1,0,1,0.0,0,0,0,0,0,0,0
41226470,1,flipped,142,2386,30,79.5,4,1,1,29,1,2025,1,2,2,2,30.6,0,0,0,0,0,0,0
41224473,1,flipped,167,2871,56,51.3,10,10,0,36,1,2025,1,1,2,8,61.3,0,0,1,0,1,0,0
41223134,1,flipped,120,2161,33,65.5,6,0,0,0,1,2025,0,1,0,10,40.3,0,0,0,0,1,0,0
41221342,1,flipped,139,1693,25,67.7,7,2,0,37,1,2025,0,2,0,2,47.8,0,1,1,0,1,0,1
41221273,1,flipped,145,2474,15,164.9,7,3,0,33,1,2025,0,2,3,3,18.2,0,0,0,0,0,1,0
41221119,1,flipped,68,1198,10,119.8,7,1,0,55,1,2025,0,0,0,1,12.5,0,0,0,0,0,0,0
41220153,1,flipped,118,2063,15,137.5,3,2,0,35,1,2025,0,3,3,2,6.8,0,0,1,0,0,1,0
41219334,1,flipped,103,1125,8,140.6,4,2,4,45,1,2025,2,0,0,1,0.0,0,0,0,0,0,0,0
41217142,1,flipped,168,1261,10,126.1,6,3,0,37,1,2025,0,0,1,1,5.6,0,0,0,0,0,0,0
41206218,1,flipped,78,386,2,193.0,4,3,0,15,1,2026,0,1,0,1,0.0,0,0,0,0,0,1,0
41204796,1,flipped,161,1867,36,51.9,5,1,1,15,1,2025,0,0,1,2,58.9,0,0,0,0,1,0,0
41201992,1,flipped,85,1849,15,123.3,8,8,0,60,1,2025,0,1,1,3,13.0,0,0,0,0,0,0,0
41200539,1,flipped,79,1963,23,85.3,3,3,0,22,1,2025,0,2,1,2,13.8,0,0,0,0,0,0,0
41199536,1,flipped,114,2572,24,107.2,3,0,0,0,1,2025,0,1,2,0,13.2,0,1,0,0,0,0,1
41197370,1,flipped,110,2071,19,109.0,2,2,0,0,1,2025,1,1,3,0,14.5,0,1,0,0,0,0,1
41195811,1,flipped,111,1809,11,164.5,6,3,0,0,1,2025,4,5,3,1,13.3,0,0,0,0,0,1,0
41193660,1,flipped,138,1433,15,95.5,3,3,0,85,1,2025,0,0,1,0,50.9,0,0,0,0,0,0,0
41191568,1,flipped,122,1641,12,136.8,3,1,0,23,1,2025,0,2,0,0,6.7,0,0,0,0,0,0,0
41186896,1,flipped,131,1196,8,149.5,12,10,0,1118,1,2025,1,0,3,0,0.0,0,0,0,0,0,0,0
41184344,1,flipped,98,2087,18,115.9,5,5,0,105,1,2025,0,1,0,2,9.1,0,0,0,0,0,0,0
41179932,1,flipped,170,1999,33,60.6,7,2,0,33,1,2025,1,1,2,4,55.0,0,1,1,0,0,0,1
41176488,1,flipped,172,350,12,29.2,5,5,0,0,1,2026,0,0,0,0,42.9,0,0,0,0,0,0,0
41167005,1,flipped,94,859,6,143.2,10,3,0,0,1,2025,0,1,1,0,12.8,0,0,0,0,0,1,0
41166544,1,flipped,65,1573,20,78.7,12,0,0,0,1,2026,0,0,1,1,20.3,0,0,0,0,1,0,0
41166511,1,flipped,70,1440,11,130.9,6,0,0,0,1,2025,0,1,1,0,0.0,0,1,0,0,1,0,1
41162470,1,flipped,95,1258,9,139.8,1,1,0,30,1,2025,2,2,0,0,2.4,1,0,0,0,0,0,0
41161545,1,flipped,112,1465,8,183.1,14,8,0,0,1,2026,0,2,2,1,10.9,0,0,0,0,0,1,0
41152300,1,flipped,80,1014,14,72.4,1,1,0,36,1,2025,2,0,0,0,26.6,1,0,0,0,0,0,0
41151387,1,flipped,121,1384,12,115.3,3,3,0,0,1,2025,0,1,1,1,12.3,0,0,0,1,0,0,0
41143819,1,flipped,98,2858,19,150.4,3,1,0,0,1,2025,0,1,4,0,8.4,0,0,0,0,0,0,1
41143167,1,flipped,139,2110,18,117.2,6,1,0,41,1,2025,0,0,0,0,12.3,0,1,0,0,0,0,1
41141425,1,flipped,78,1373,8,171.6,2,3,0,139,1,2025,0,0,2,0,1.5,0,0,0,0,0,0,1
41141003,1,flipped,112,2130,23,92.6,6,3,0,17,1,2025,0,0,0,4,31.0,0,0,1,0,1,0,0
41139239,1,flipped,180,2111,37,57.1,5,2,0,31,1,2025,1,0,1,3,59.2,0,0,0,0,1,0,0
41138894,1,flipped,134,2028,18,112.7,4,3,0,0,1,2025,0,2,1,1,7.4,0,0,0,0,0,1,0
41136797,1,flipped,173,1483,13,114.1,7,7,0,25,1,2025,0,2,1,1,20.2,0,1,0,0,0,0,1
41134824,1,flipped,147,1565,9,173.9,4,3,0,107,1,2025,0,0,0,1,1.9,0,0,0,0,0,0,0
41134816,1,flipped,140,1591,10,159.1,2,1,0,53,1,2025,1,1,0,0,3.8,0,0,0,0,0,0,0
41134735,1,flipped,104,1866,23,81.1,3,2,0,17,1,2025,0,0,1,1,60.6,0,0,0,0,0,0,0
41132608,1,flipped,150,2098,20,104.9,14,3,0,103,1,2025,0,1,0,1,11.0,0,1,0,0,0,0,1
41117339,1,flipped,138,1259,23,54.7,10,5,0,0,1,2026,1,0,1,3,49.2,0,0,0,0,0,0,0
41112381,1,flipped,101,738,4,184.5,5,3,0,14,1,2025,0,0,0,0,8.1,0,0,0,1,1,0,1
41111877,1,flipped,116,818,5,163.6,4,1,0,0,1,2025,1,0,1,0,0.0,0,0,0,1,0,0,0
41111741,1,flipped,161,2427,46,52.8,9,10,0,26,1,2025,0,2,1,1,58.9,0,0,0,0,1,0,0
41110921,1,flipped,178,2093,9,232.6,37,28,0,0,1,2025,0,1,0,1,5.3,0,0,0,0,0,0,0
41110748,1,flipped,149,1519,11,138.1,14,10,0,0,1,2025,0,1,5,2,15.1,0,0,0,0,0,0,0
41105728,1,flipped,136,1611,18,89.5,7,6,0,38,1,2025,1,0,0,1,14.3,0,0,0,0,0,0,0
41104525,1,flipped,167,2055,22,93.4,7,5,1,57,1,2026,1,3,3,3,36.0,0,1,1,0,0,0,1
41098260,1,flipped,129,2436,40,60.9,3,3,0,29,1,2025,0,0,4,6,57.1,0,0,0,0,0,0,0
41091788,1,flipped,198,2117,24,88.2,3,2,0,124,1,2025,0,0,0,2,24.6,0,0,0,0,0,0,0
